Id,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA01/2020/0433/F,04-Mar-2020,,12-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Proposed replacement of existing turbine approved under B/2013/0258/F with an EWT DW54 250KW Turbine comprising of a 40m hub height and blade span of 27m (overall tip height of 67M),Approx 800m east south east of no. 34 Terrydoo Road  Limavady,"274,196","421,558",Pending, ,,,,,,1,12 months and over
LA01/2020/0483/F,04-Mar-2020,,20-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Proposed replacement of existing turbine approved under B/2013/0041/F with an EWT DW54 250KW turbine comprising of a 40m hub height and blade span of 27m (overall tip height of 67m),Approximately 654m East South East of No. 34 Terrydoo Road  Limavady,"274,053","421,571",Pending, ,,,,,,1,12 months and over
LA04/2020/0754/F,04-Mar-2020,,04-Mar-2020,Belfast,N13000004,Belfast LPA,BELFAST NORTH,Full,Local,Residential,Urban,Urban housing developments, ,"Development of 14 social housing dwellings, with associated private amenity spaces, new lay-by parking and associated site works. 9 x3 person 2 bedroom townhouse (general needs), 3 x 5 person 3 bedroom townhouse (general needs), 2 x 2 person 1 bedroom apartments (general needs). (Further information received)",197-203 Crumlin Road  Belfast  BT14 7DX.,"332,577","375,491",Approved,Approved,08-Oct-2021,Q3,,,79.4,, 
LA07/2020/0369/F,04-Mar-2020,,04-Mar-2020,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,"hResidential development comprising 8 semi-detached dwellings and garages, private package treatment plant and associated site works (amended site location plan)",Lands located NW 3-11 Harmony Park and NW 119-139 plus SE 117 141 and 149 Drumaness Road  Drumaness,"339,895","348,640",Refused,Refused,28-Sep-2021,Q2,,,77.8,, 
LA07/2020/0421/F,04-Mar-2020,,04-Mar-2020,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Full,Local,Change of Use,Rural: Countryside, , ,"Retention of unauthorised erection of stable building, unauthorised indoor sand arena building and unauthorised change of use of land to sand school.",Adjacent to 86 Upper Dromore Road  Dromore  Warrenpoint  BT34 3PN,"313,468","319,984",Approved,Approved,23-Jun-2021,Q1,,,64.6,, 
LA08/2020/0317/F,04-Mar-2020,,06-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",SOUTH DOWN,Full,Local,Agricultural,Rural: Countryside, , ,Proposed portal frame agricultural building with domestic stables and associated site works.,Lands 80m to the rear (east) of 20 Katesbridge Road  Katesbridge  Banbridge  BT32 5PZ,"320,287","341,983",Refused,Refused,27-May-2021,Q1,,,60.6,, 
LA08/2020/0324/F,04-Mar-2020,,06-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Full,Local,Residential,Urban,Urban housing developments, ," Proposed erection of 42no. dwellings, including associated road layout, car parking and landscaping. (amended scheme)",Land approximately 30m south west of Lidl at Highfield Heights and adjacent to the rear of No's 74-96 (even numbers) Drumnagoon Meadows,"303,730","356,708",Approved,Approved,25-Nov-2021,Q3,,,85.8,, 
LA09/2020/0319/F,04-Mar-2020,,05-Mar-2020,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed new housing development for include 23 dwellings (3 detached and 20 semi-detached), garages, associated access and landscaping",Lands to the North of 28 & 30 Aughrim Road  Magherafelt,"290,358","390,521",Approved,Approved,02-Feb-2022,Q4,,,95.0,, 
LA04/2020/0665/F,05-Mar-2020,,05-Mar-2020,Belfast,N13000004,Belfast LPA,BELFAST SOUTH,Full,Local,Residential,Urban,Urban housing developments, ,Demolition of existing house and erection of 8 no. new apartments (Amended drawings),4 Chlorine Gardens  Belfast  BT9 5DJ,"333,415","372,116",Withdrawn,Withdrawn,,,28-Apr-2021,Q1,56.8,, 
LA06/2020/0232/F,05-Mar-2020,,10-Jun-2020,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Proposal is for redevelopment of site with 4 No. terraced cottages with associated carparking and landscaping (Amended site address),Lands to north and west of No.56 Shore Road Millisle BT22 2BT,"359,811","376,029",Approved,Approved,27-Apr-2021,Q1,,,43.8,, 
LA06/2020/0240/F,05-Mar-2020,,05-Mar-2020,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Full,Local,Commercial,Urban, , ,Retrospective permission for 12 No. external air conditioning units; 5 No. units to be relocated at lower level below top of party wall/fence,9 Ballyholme Road  Bangor  BT20 5JH,"350,999","382,011",Approved,Approved,06-Oct-2021,Q3,,,78.8,, 
LA07/2020/0422/F,05-Mar-2020,,09-Mar-2020,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Proposed Housing Development comprising of 7 detached houses and 12 semi detached houses. (Revised Description and amended plans),Lands to the west of no.17  Forest Park  Drumintee  Newry  BT35 8TU,"303,555","317,600",Approved,Approved,17-Jun-2021,Q1,,,63.2,, 
LA07/2020/0432/O,05-Mar-2020,,09-Mar-2020,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",SOUTH DOWN,Outline,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Site for residential development,Lands opposite and adjacent to 9-19 Tullydale Drive  bounded to the east by 1-7 Tullamona Park  and 170 Tullyframe Road  Attical.,"327,827","319,502",Approved,Approved,10-Jun-2021,Q1,,,62.2,, 
LA07/2020/0496/F,05-Mar-2020,,05-Mar-2020,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Change of Use,Rural: Countryside, , ,Consolidation of existing development to form single dwelling,Approx 105m NE of junction of Bernish Road and Seavers Road  Newry,"306,244","323,921",Approved,Approved,26-Nov-2021,Q3,,,86.2,, 
