Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2013/0153/F,28/03/2013,,28/03/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Single storey unit of self catering accommodation in lieu of planning approval A/2008/0208/RM,Land adjacent to Cregg Mills Cottage Cregg Road Claudy,"253,445","406,573",Refused,Refused,26/08/2016,Q2,,,170,, 
A/2013/0400/F,15/08/2013,,15/08/2013,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,Proposed off-site replacement of 5 no. terraced dwellings (as part of a comprehensive scheme for the redevelopment of a dilapidated terrace of 14 no mill workers cottages),Lands immediately northeast of 24 Green Road Ardmore.,"247,282","413,885",Pending, ,,,,,,1,12 months and over
A/2013/0498/F,04/10/2013,,04/10/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Proposed single wind turbine with a hub height of 46 metres and blade diameter of 30 metres, output not exceeding 250 KW.",1075m NW of 567 Baranailt Road  Claudy.,"254,758","410,103",Pending, ,,,,,,1,12 months and over
A/2013/0507/F,08/10/2013,,08/10/2013,Derry and Strabane,FOYLE,Full,Major,Other,Urban, , ,Application to vary Condition 6 of A/1996/0505 and Condition 4 of A/2001/0098/RM to allow mixed retailing,Unit 4  Crescent Link Retail Park  Waterside  Londonderry,"246,540","417,143",Pending, ,,,,,,1,12 months and over
A/2013/0574/F,26/11/2013,,26/11/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Other,Rural: Countryside, , ,Non-compliance with condition No. 02 of planning permission A/2001/0747/F; extension of time to carry out remaining extraction of approved sand and gravel.,700 metres of 339 Longland Road  Claudy,"257,284","405,206",Pending, ,,,,,,1,12 months and over
A/2013/0613/F,13/12/2013,,13/12/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Agricultural,Rural: Countryside, , ,Retention of 2no cattle sheds located within the curtilage of the existing farm yard.,138 Cumber Road  Claudy.,"252,231","404,462",Approved,Approved,05/05/2016,Q1,,,118.6,, 
A/2013/0635/F,19/12/2013,,19/12/2013,Derry and Strabane,FOYLE,Full,Local,Other,Urban, , ,"Drumahoe District Park consisting of a new childrens play area, 7 aside flood lit synthetic pitch, car parking, changing pavilions and associated fencing and landscaping.",Faughan Valley School  Drumahoe.,"246,413","414,714",Approved,Approved,24/05/2016,Q1,,,120.4,, 
A/2014/0009/F,07/01/2014,,07/01/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, , ,Demolition of building containing 3 residential units and replacement of this with the erection of a 2 storey building to accommodate to charging and toilet facilities for existing paintballing use at ground floor and 2 residential units at first floor level and new septic tank.,Immediately to rear of 227 Glenshane Road  Londonderry,"249,487","411,039",Approved,Approved,14/12/2016,Q3,,,146.8,, 
A/2014/0035/RM,23/01/2014,,23/01/2014,Derry and Strabane,FOYLE,Reserved Matters,Major,Residential,Urban,Urban housing developments, ,Residential housing development comprising a mix of detached and semi detached units (174 in total) with associated landscaping and vehicular access (amended layout and additional reports),Drumahoe Industrial Estate  Drumahoe Road  Londonderry,"246,212","415,225",Pending, ,,,,,,1,12 months and over
A/2014/0086/F,10/02/2014,,10/02/2014,Derry and Strabane,FOYLE,Full,Local,Commercial,Urban, , ,"Redevelopment of vacant lands for an unattended 24 hour operating filling station (incorporating new canopy, 4 fuel dispensers, new underground fuel tanks, upgraded associated site works & site boundaries plus a ""fuel cash and carry"" sales building and car wash.",Lands adjacent to  Rossdowney Road and Crescent Link Junction Londonderry,"246,459","417,285",Pending, ,,,,,,1,12 months and over
