Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA09/2018/0959/RM,09/07/2018,Q2,09/07/2018,Mid Ulster,FERMANAGH AND SOUTH TYRONE,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling and Domestic Garage in accordance with Policy CTY 8,Site immediately South and adjacent to 130 Killymeal Road  Edendork  Dungannon.,"281,433","365,017",Approved,Approved,18/10/2018,Q3,,,14.0,, 
LA09/2018/0960/F,09/07/2018,Q2,09/07/2018,Mid Ulster,MID ULSTER,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Change of house type from that approved under LA09/2016/0678/RM Dated 4th August 2016.,Adjacent to and SE of 46A Drumenny Road  Ballinderry  Coagh  Cookstown  BT80 0BY.,"293,256","378,684",Approved,Approved,11/10/2018,Q3,,,13.0,, 
LA09/2018/0988/F,09/07/2018,Q2,16/07/2018,Mid Ulster,MID ULSTER,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Proposed rear extension to existing dwelling and provision of new detached garage to rear,31 Drumlane Road  Tamalaght O'Crilly  Upperlands  Maghera,"291,620","406,470",Approved,Approved,01/03/2019,Q4,,,31.8,, 
LA09/2018/0993/F,09/07/2018,Q2,17/08/2018,Mid Ulster,MID ULSTER,Full,Local,Civic,Rural: Countryside, , ,Proposed new private access and laneway to previously approved site of dwelling and garage,90m South of 38 Brookmount Road  Loup  Magherafelt,"293,070","383,012",Approved,Approved,10/01/2019,Q4,,,19.8,, 
LA10/2018/0883/F,09/07/2018,Q2,09/07/2018,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Settlement,Rural extensions and alterations (settlement), ,Single storey side extension to dwelling,21 Cliff Road  Finner  Belleek  BT93 3FL,"194,000","359,253",Approved,Approved,09/10/2018,Q3,,,12.6,, 
LA10/2018/0884/RM,09/07/2018,Q2,09/07/2018,Fermanagh and Omagh,WEST TYRONE,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed new one and half storey dwelling house,Adjacent to and NW of 69 Derroar Road  Omagh Co Tyrone BT78 0SE,"253,769","369,692",Approved,Approved,18/09/2018,Q2,,,9.6,, 
LA10/2018/0885/RM,09/07/2018,Q2,09/07/2018,Fermanagh and Omagh,WEST TYRONE,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed domestic dwelling,50m south of 109 Kevlin Road  Omagh BT78 1PL,"245,434","371,059",Approved,Approved,17/08/2018,Q2,,,5.4,, 
LA10/2018/0886/F,09/07/2018,Q2,09/07/2018,Fermanagh and Omagh,FERMANAGH AND SOUTH TYRONE,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,"Proposed Dwelling and internal garage (amended design) in substitution of previously approved schemes, (L/2008/0594/RM & LA10/2016/0689/F)",17 Drumboory Road  Tirconnell  Enniskillen  Fermanagh  BT74 5DH,"219,392","346,916",Approved,Approved,07/09/2018,Q2,,,8.2,, 
LA10/2018/0892/F,09/07/2018,Q2,09/07/2018,Fermanagh and Omagh,WEST TYRONE,Full,Local,Other,Rural: Countryside, , ,NIHE extension to dwelling including carport to rear,27 Drumskinney Road  Dromore,"234,259","361,440",Approved,Approved,14/09/2018,Q2,,,9.2,, 
LA10/2018/0893/F,09/07/2018,Q2,11/07/2018,Fermanagh and Omagh,WEST TYRONE,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Extension and alterations to dwelling,240 Crockanboy Road Greencastle Omagh,"258,755","383,420",Approved,Approved,08/10/2018,Q3,,,12.0,, 
