cell_id,row,col,centroid_lng,centroid_lat,secondary_250m,secondary_500m,secondary_750m,secondary_1000m,primary_1000m,primary_2000m,primary_4000m,secondary_rating_kva_1000m,primary_rating_kva_4000m,nearest_transformer_m,nearest_secondary_m,nearest_primary_m,weighted_capacity_kva,available_capacity_kw_proxy,peak_kw_proxy_2026,headroom_kw_proxy_2026,overload_risk_2026,asset_age_mean,missing_rating_share,data_support_score,confidence,electricity_index,jobs_index,buildings_index,services_index,traffic_index,development_pressure,planning_intensity,transit_access,deprivation_weight
belfast_11_06,11,6,-5.992728,54.666572,0,0,0,3,1,1,6,1500.0,96000.0,941.5,941.5,962.7,35410.115,14713.116,2393.25,12319.866,0.0,,0.0,0.58,medium,0.419,0.088,0.355,0.098,0.225,0.14,0.09,0.18,0.0
belfast_11_07,11,7,-5.979091,54.666572,0,0,1,3,1,2,7,1500.0,112000.0,560.6,560.6,943.1,43593.624,18133.221,2432.8,15700.421,0.0,,0.0,0.58,medium,0.426,0.088,0.362,0.098,0.227,0.154,0.097,0.18,0.0
belfast_11_08,11,8,-5.965455,54.666572,0,0,1,3,0,3,7,1500.0,112000.0,720.1,720.1,1059.2,47100.217,19611.879,2464.1,17147.779,0.0,,0.0,0.58,medium,0.431,0.088,0.38,0.098,0.247,0.152,0.096,0.18,0.0
belfast_11_09,11,9,-5.951819,54.666572,1,1,2,5,1,2,7,2500.0,112000.0,123.2,123.2,973.6,50199.834,20967.017,2420.55,18546.467,0.0,,0.0,0.58,medium,0.426,0.088,0.357,0.098,0.229,0.134,0.087,0.18,0.0
belfast_11_10,11,10,-5.938182,54.666572,2,2,3,5,1,2,7,2500.0,112000.0,94.3,94.3,104.1,53220.885,22286.562,2360.7,19925.862,0.0,,0.0,0.58,medium,0.418,0.088,0.332,0.098,0.212,0.11,0.075,0.18,0.0
belfast_11_11,11,11,-5.924546,54.666572,0,0,0,3,1,2,7,1500.0,112000.0,784.4,786.8,784.4,46111.782,19295.089,2320.0,16975.089,0.0,,0.0,0.58,medium,0.41,0.088,0.333,0.098,0.206,0.091,0.112,0.18,0.0
belfast_11_12,11,12,-5.91091,54.666572,0,1,1,3,0,2,6,1500.0,96000.0,493.6,493.6,1601.2,35884.776,15020.326,2318.65,12701.676,0.0,,0.0,0.58,medium,0.407,0.088,0.354,0.098,0.214,0.085,0.164,0.18,0.0
belfast_11_13,11,13,-5.897273,54.666572,0,0,1,2,0,0,4,1000.0,64000.0,601.0,601.0,2159.0,22645.505,9468.122,2348.25,7119.872,0.0,,0.0,0.58,medium,0.41,0.088,0.373,0.098,0.229,0.096,0.174,0.18,0.0
belfast_11_14,11,14,-5.883637,54.666572,0,0,0,0,0,0,3,0,48000.0,1285.1,1285.1,2881.0,14227.057,5922.178,2378.0,3544.178,0.0,,0.0,0.58,medium,0.415,0.088,0.372,0.098,0.236,0.118,0.132,0.18,0.0
belfast_11_15,11,15,-5.870001,54.666572,0,0,0,0,0,0,2,0,32000.0,2117.3,2117.3,3671.7,7418.191,3080.77,2421.15,659.62,0.3801,,0.0,0.58,medium,0.423,0.088,0.372,0.098,0.243,0.141,0.09,0.18,0.0
belfast_11_16,11,16,-5.856364,54.666572,0,0,0,0,0,0,2,0,32000.0,2975.9,2975.9,3495.2,7387.708,3061.127,2456.15,604.977,0.39,,0.0,0.34,low,0.429,0.088,0.379,0.098,0.245,0.154,0.097,0.18,0.0
belfast_11_17,11,17,-5.842728,54.666572,0,0,0,0,0,0,2,0,32000.0,2900.5,2904.2,2900.5,8518.719,3528.733,2462.35,1066.383,0.3061,,0.0,0.34,low,0.431,0.088,0.378,0.098,0.245,0.151,0.096,0.18,0.0
belfast_11_18,11,18,-5.829091,54.666572,0,0,0,0,0,0,2,0,32000.0,2480.3,2484.1,2480.3,9246.28,3830.56,2437.2,1393.36,0.2467,,0.0,0.58,medium,0.428,0.088,0.37,0.098,0.243,0.134,0.087,0.18,0.0
belfast_11_19,11,19,-5.815455,54.666572,0,0,0,0,0,0,1,0,16000.0,2330.9,2334.3,2330.9,6325.43,2621.7,2393.35,228.35,0.4585,,0.0,0.58,medium,0.422,0.088,0.357,0.098,0.238,0.11,0.075,0.18,0.0
belfast_11_20,11,20,-5.801819,54.666572,0,0,0,0,0,0,1,0,16000.0,2501.3,2502.2,2501.3,5904.194,2446.633,2348.3,98.333,0.4821,,0.0,0.34,low,0.415,0.088,0.345,0.098,0.233,0.091,0.065,0.18,0.0
belfast_11_21,11,21,-5.788182,54.666572,0,0,0,0,0,0,1,0,16000.0,2933.5,2933.5,2936.4,4954.179,2052.21,2321.85,-269.64,0.549,,0.0,0.34,low,0.41,0.088,0.34,0.098,0.229,0.085,0.063,0.18,0.0
belfast_12_00,12,0,-6.074546,54.679429,0,0,0,0,0,0,1,0,16000.0,3595.7,3595.7,3596.2,3800.47,1573.819,2348.95,-775.131,0.6409,,0.0,0.34,low,0.415,0.088,0.346,0.098,0.234,0.091,0.066,0.18,0.0
belfast_12_01,12,1,-6.06091,54.679429,0,0,0,0,0,0,1,0,16000.0,2752.9,2752.9,2753.1,5335.768,2210.783,2327.25,-116.467,0.5212,,0.0,0.34,low,0.411,0.088,0.342,0.098,0.232,0.085,0.063,0.18,0.0
belfast_12_02,12,2,-6.047273,54.679429,0,0,0,0,0,1,1,0,16000.0,1940.6,1941.0,1940.6,7420.135,3078.211,2334.35,743.861,0.3648,,0.0,0.58,medium,0.411,0.088,0.346,0.098,0.232,0.095,0.068,0.18,0.0
belfast_12_03,12,3,-6.033637,54.679429,0,0,0,0,0,1,2,0,32000.0,1221.9,1223.4,1221.9,14551.841,6045.233,2367.8,3677.433,0.0,,0.0,0.58,medium,0.415,0.088,0.357,0.098,0.236,0.117,0.079,0.18,0.0
belfast_12_04,12,4,-6.020001,54.679429,0,0,0,3,1,1,4,1500.0,64000.0,871.8,875.4,871.8,25375.335,10551.055,2436.8,8114.255,0.0,,0.0,0.58,medium,0.425,0.103,0.368,0.144,0.239,0.14,0.09,0.18,0.0
belfast_12_05,12,5,-6.006364,54.679429,1,1,1,1,0,2,5,500.0,80000.0,68.6,68.6,1251.9,33542.918,13970.139,2466.3,11503.839,0.0,,0.0,0.58,medium,0.43,0.118,0.356,0.19,0.222,0.154,0.097,0.18,0.0
belfast_12_06,12,6,-5.992728,54.679429,0,0,2,3,1,3,6,1500.0,96000.0,720.7,720.7,736.9,42913.933,17847.154,2478.35,15368.804,0.0,,0.0,0.58,medium,0.433,0.118,0.357,0.19,0.223,0.152,0.096,0.18,0.0
belfast_12_07,12,7,-5.979091,54.679429,0,0,2,4,2,4,6,2000.0,96000.0,703.8,703.8,711.1,49495.429,20600.692,2466.15,18134.542,0.0,,0.0,0.58,medium,0.432,0.118,0.357,0.19,0.229,0.134,0.087,0.18,0.0
belfast_12_08,12,8,-5.965455,54.679429,0,1,2,2,1,4,8,1000.0,128000.0,336.2,336.2,363.4,61188.546,25491.071,2362.0,23129.071,0.0,,0.0,0.58,medium,0.418,0.088,0.334,0.098,0.215,0.11,0.075,0.18,0.0
belfast_12_09,12,9,-5.951819,54.679429,0,0,0,7,2,4,7,3500.0,112000.0,803.5,803.5,840.4,57002.294,23771.362,2346.35,21425.012,0.0,,0.0,0.58,medium,0.415,0.088,0.342,0.098,0.23,0.091,0.065,0.18,0.0
belfast_12_10,12,10,-5.938182,54.679429,0,0,0,1,0,4,7,500.0,112000.0,983.0,983.0,1319.0,52582.341,21926.043,2320.55,19605.493,0.0,,0.0,0.58,medium,0.41,0.088,0.338,0.098,0.228,0.085,0.063,0.18,0.0
